language,latitude,longitude,color,family,subgroup,country
Arabic_Gulf [afb],24,54,#A05638,Afro-Asiatic,Semitic,United Arab Emirates
Arabic [arb],30,42,#7B4A23,Afro-Asiatic,Semitic,Saudi Arabia
Arabic_Moroccan [ary],34,-7,#9C4632,Afro-Asiatic,Semitic,Morocco
Arabic_Syrian [apc],33,37,#904A25,Afro-Asiatic,Semitic,Syria
Arabic_Tunisian [aeb],36,10,#82433D,Afro-Asiatic,Semitic,Tunisia
Chaha [sgw],8.2,38,#504965,Afro-Asiatic,Semitic,Ethiopia
Hebrew [heb],31.75,35.17,#917F1C,Afro-Asiatic,Semitic,Israel
Tigré [tig],16.5,38.5,#625B36,Afro-Asiatic,Semitic,Eritrea
Tigrinya [tir],14.5,38.5,#495A4B,Afro-Asiatic,Semitic,Ethiopia
Iraqw [irk],-3.5,35,#817272,Afro-Asiatic,Cushitic,Tanzania
Angas [anc],9.75,8.75,#D580A1,Afro-Asiatic,Chadic,Nigeria
Goemai [ank],8.67,9.75,#DED7CA,Afro-Asiatic,Chadic,Nigeria
Hausa [hau],12,7,#B37053,Afro-Asiatic,Chadic,Nigeria
Kanakuru [kna],10,12,#AE7867,Afro-Asiatic,Chadic,Nigeria
Miya [mkf],11,10,#B46779,Afro-Asiatic,Chadic,Nigeria
Ngizim [ngi],12.08,10.92,#8E5781,Afro-Asiatic,Chadic,Nigeria
Pa'a [pqa],11,9.25,#995665,Afro-Asiatic,Chadic,Nigeria
Pero [pip],9.58,11,#C06082,Afro-Asiatic,Chadic,Nigeria
Ainu [ain],43.5,142,#85607B,Ainu,,Japan
Qawésqar [alc],-50,-75,#5F9898,Alaculufan,,Chile
Blackfoot [bla],50,-112.67,#721B90,Algic,Algonquian,Canada
Cree_Woods [cwd],58,-102,#733E5E,Algic,Algonquian,Canada
Cree_Plains [crk],54,-116,#7E3A58,Algic,Algonquian,Canada
Massachusetts [wam],42.5,-71,#77265B,Algic,Algonquian,USA
Menominee [mez],45.5,-88.33,#71285D,Algic,Algonquian,USA
Montagnais [moe],52,-65,#75366D,Algic,Algonquian,Canada
Ojibwe [ojg],49,-92.5,#7C2639,Algic,Algonquian,Canada
Passamaquoddy-Maliseet [pqm],45,-67,#89394B,Algic,Algonquian,USA
Wiyot [wiy],40.83,-124.17,#81417C,Algic,Wiyot,USA
Yurok [yur],41.33,-124,#808051,Algic,Yurok,USA
Buryat [bxm],52,108,#15995C,Mongolic,Eastern,Russia
Dagur [dta],48,124,#42B162,Mongolic,Eastern,China
Kalmyk [xal],45,47,#2CAA67,Mongolic,Eastern,Russia
Khalkha [khk],47,108,#34B570,Mongolic,Eastern,Mongolia
Mongguor [mjg],36,102,#34AE67,Mongolic,Eastern,China
Moghol [mhj],35,62,#32B252,Mongolic,Western,Afghanistan
Mongolian [mon],50,104,#22A182,Mongolic,Eastern,Mongolia
Ordos [mvf],39,109,#16AF66,Mongolic,Eastern,China
Even [eve],68,130,#2E847B,Tungusic,North,Russia
Evenki [evn],57,105,#268A63,Tungusic,North,Russia
Manchu [mnc],45,125,#219277,Tungusic,South,China
Nanai [gld],49.5,137,#2C9681,Tungusic,South,Russia
Orok [oaa],49.5,143.5,#2B9880,Tungusic,South,Russia
Udihe [ude],47.667,136.25,#379767,Tungusic,North,Russia
Azeri [azb],40.67,47.75,#1FBB65,Turkic,South-west,Azerbaijan
Azerbaijani [azj],40.5,48.5,#19BE70,Turkic,South-west,Azerbaijan
Bashkir [bak],53,58,#21BE70,Turkic,North-west,Russia
Chuvash [chv],55.5,47.5,#12A872,Turkic,Oghur,Russia
Turkish_Crimean [crh],45,34.083,#15AC5F,Turkic,North-west,Ukraine
Karachay-Balkar [krc],44,42,#21BB66,Turkic,North-west,Russia
Karakalpak [kaa],43,60,#15BF68,Turkic,North-west,Uzbekistan
Khakas [kjh],53,90,#26A46D,Turkic,North-east,Russia
Khalaj [klj],35,50,#36B45F,Turkic,South-west,Iran
Kyrgyz [kir],42,75,#1B9F69,Turkic,North-west,Kyrgystan
Tatar [tat],56,49.5,#27C069,Turkic,North-west,Russia
Turkish [tur],40,30,#259654,Turkic,South-west,Turkey
Turkmen [tuk],40,58,#1FA382,Turkic,South-west,Turkmenistan
Tuva [tyv],52,95,#239978,Turkic,North-east,Russia
Uighur [uig],40,80,#1E9373,Turkic,South-east,China
Uzbek [uzn],39,66,#2BA157,Turkic,South-east,Uzbekistan
Yakut [sah],62,130,#23977D,Turkic,North-east,Russia
Jarawa [anq],11.167,92.5,#497BB7,Andaman,,India
Onge [oon],10.75,92.5,#419586,Andaman,,India
Andoké [ano],0,-72,#4B645E,Andoké,,Colombia
Anem [anz],-5.667,149,#BF639E,Anem,,Papua New Guinea
Jarawara [jap],-8.1,-67,#4846A3,Arawá,,Brazil
Paumarí [pad],-7,-64.5,#6B5469,Arawá,,Brazil
Mapudungun [arn],-36,-67,#716D6C,Araucanian,,Chile
Amuesha [ame],-10,-73,#733B68,Arawak,South-Southwest,Peru
Apurinã [apu],-9,-67,#8F5E6C,Arawak,South-Southwest,Brazil
Arawak [arw],-8,-37.3,#6E5A7A,Arawak,North,Brazil
Barí [mot],9,-73.5,#576C82,Chibchan,East,Venezuela
Baure [brg],-15,-64,#925046,Arawak,South-Southwest,Bolivia
Campa [cni],-12,-74,#6F5061,Arawak,South-Southwest,Peru
Garifuna [cab],15.85,-85,#C15851,Arawak,North,Honduras
Guajira [guc],12,-72,#A8415E,Arawak,North,Colombia
Ignaciano [ign],-12.5,-65.5,#AE3E37,Arawak,South-Southwest,Bolivia
Iranxe [irn],-13,-58,#483ECA,Arawak,South,Brazil
Matsigenka [mcb],-12,-70.4,#724E3D,Arawak,South-Southwest,Peru
Palikúr [plu],3,-51,#8D6760,Arawak,East,Brazil
Resigaro [rgr],-2.5,-71.25,#4A7769,Arawak,North,Peru
Tariana [tae],0.3,-69.7,#385C87,Arawak,North,Brazil
Warekena [gae],2,-65,#6F5F68,Arawak,North,Venezuela
Anindilyagwa [aoi],-14,136.5,#703658,Macro-Gunwinygu,East Arnhem,Australia
Pungupungu [wdj],-13.5,130.417,#8770AA,Western Daly,,Australia
Bunuba [bck],-17.75,125.75,#747866,Bunuban,,Australia
Gooniyandi [gni],-18.5,126.6,#837677,Bunuban,,Australia
Burarra [bvr],-12.25,134.667,#704993,Macro-Gunwinygu,Maningrida,Australia
Gurr-goni [gge],-12.25,134.417,#706A87,Macro-Gunwinygu,Maningrida,Australia
Miriwung [mep],-15.667,129,#4C4D68,Jarrakan,,Australia
Kamu [xmu],-13.583,130.833,#624795,East Daly,,Australia
Matngele [zml],-13.833,130.417,#8B6891,East Daly,,Australia
Gaagudju [gbu],-12.583,132.833,#8A497F,Macro-Gunwinygu,,Australia
Garawa [gbc],-17.25,137.667,#6AA04C,Wanyi-Garrwa,,Australia
Bininj Gun-Wok [gup],-12.5,133.75,#90275D,Macro-Gunwinygu,Gunwingyuan proper,Australia
Dalabon [ngk],-14.25,134,#6A2C64,Macro-Gunwinygu,Gunwingyuan proper,Australia
Iwaidja [ibd],-11.5,132.667,#8A4660,Iwaidjan,,Australia
Maung [mph],-11.917,133.5,#A4545F,Iwaidjan,,Australia
Jaminjung [djd],-15.083,130.5,#354E79,Mirndi,West,Australia
Laragia [lrg],-12.667,130.833,#832091,Darwin,,Australia
Limilngan [lmc],-12.5,131.917,#753599,Darwin,,Australia
Manggarayi [mpc],-14.667,133.5,#64506B,Macro-Gunwinygu,Gunwingyuan proper,Australia
Alawa [alh],-15.75,134.333,#437260,Macro-Gunwinygu,Marran,Australia
Mara [mec],-15.1,135.2,#823887,Macro-Gunwinygu,Marran,Australia
Warndarang [wnd],-14.417,135.583,#6B476F,Macro-Gunwinygu,Marran,Australia
Murrinh-Patha [mwf],-14.667,129.667,#8A3C8C,Southern Daly,,Australia
Nakkara [nck],-12.117,134.417,#82378E,Macro-Gunwinygu,Maningrida,Australia
Ndjébbana [djj],-12.167,134.117,#882E91,Macro-Gunwinygu,Maningrida,Australia
Ngalakgan [nig],-14.5,134.833,#5C2899,Macro-Gunwinygu,Gunwingyuan proper,Australia
Ngandi [nid],-13.5,135,#472481,Macro-Gunwinygu,Gunwingyuan proper,Australia
MalakMalak [mpb],-13.417,130.417,#5F57A1,Northern Daly,,Australia
Tyeraity [woa],-13,130.333,#94399A,Northern Daly,,Australia
Nunggubuyu [nuy],-13.75,135.667,#71357A,Macro-Gunwinygu,Gunwingyuan proper,Australia
Nyigina [nyh],-18,124.333,#7F7559,Nyulnyul,East,Australia
Nyulnyul [nyv],-17,123,#7C5654,Nyulnyul,West,Australia
Warrwa [wwr],-17.5,123.5,#654B79,Nyulnyul,East,Australia
Yawuru [ywr],-18,122.5,#605A58,Nyulnyul,East,Australia
Adynyamathanha [adt],-31,139.5,#47986E,Pama-Nyungan,Yura,Australia
Alyawarr [aly],-24.6,134.5,#6A8D8C,Pama-Nyungan,Arandic,Australia
Anguthimri [xxx-3],-12.333,141.833,#42AC91,Pama-Nyungan,North Cape York,Australia
Arabana [ard],-28,137,#41AD67,Pama-Nyungan,Karnic,Australia
Arrernte_Mparntwe [aer],-24,136,#599899,Pama-Nyungan,Arandic,Australia
Arrernte_Central [are],-22.85,133.7,#5AA09A,Pama-Nyungan,Arandic,Australia
Badimaya [bia],-27.667,119,#3DC471,Pama-Nyungan,Kardu,Australia
Bandjalang [bdy],-28.75,153,#43B566,Pama-Nyungan,Central-East,Australia
Bilinara [nbj],-16,131.667,#72B575,Pama-Nyungan,Ngumbin-Yapa,Australia
Biri [bzr],-20.5,146.5,#49A06A,Pama-Nyungan,Greater Maric,Australia
Bularnu [yil],-21.5,137.5,#55CA67,Pama-Nyungan,Ngarna,Australia
Tharrkari [dhr],-23.6,115.7,#46C86A,Pama-Nyungan,Pilbara,Australia
Dharumbal [bjy],-22.75,150,#52BB73,Pama-Nyungan,Rockhampton,Australia
Diyari [dif],-28,139,#559466,Pama-Nyungan,Karnic,Australia
Djabugay [dyy],-16.65,145.5,#43BF71,Pama-Nyungan,Yidinic,Australia
Djambarrpuyngu [djr],-12,135.5,#52BE7F,Pama-Nyungan,Yolngu,Australia
Djapu [duj],-12.667,136,#66A267,Pama-Nyungan,Yolngu,Australia
Djaru [ddj],-18.75,128,#61A36D,Pama-Nyungan,Ngumbin-Yapa,Australia
Djinang [dji],-12.5,134.833,#4BAC6B,Pama-Nyungan,Yolngu,Australia
Dyirbal [dbl],-17.583,145.5,#59A082,Pama-Nyungan,Dyirbalic,Australia
Bandjalang-Gidabal [bdy-3],-28.25,152,#48B862,Pama-Nyungan,Central-East,Australia
Gugada [ktd],-30,134,#44AFAA,Pama-Nyungan,Western Desert,Australia
Gumbaynggir [kgs],-30.4,152.5,#4DA778,Pama-Nyungan,Central-East,Australia
Gureng Gureng [gnr],-25.25,151,#56C77A,Pama-Nyungan,Central-East,Australia
Guugu Yimidhirr [kky],-15,144.833,#51B287,Pama-Nyungan,Southeast Cape York,Australia
Kalkatungu [ktg],-21,139.5,#46606C,Pama-Nyungan,Kalkatungu,Australia
Karajarri [gbd],-18.5,122.5,#5BBB78,Pama-Nyungan,Marngu,Australia
Kuku Nganhcara [wua],-14.8,141.9,#6FAB91,Pama-Nyungan,West Cape York,Australia
Kuku Yalanji [gvn],-16,145,#5DBF68,Pama-Nyungan,KukuYalanji,Australia
Kuuku-Ya'u [kuy],-12.583,143.083,#55C68D,Pama-Nyungan,North Cape York,Australia
Madimadi [xxx-18],-34.5,143.5,#5BA361,Pama-Nyungan,Kulin,Australia
Margany [zmc],-26.5,145,#43B968,Pama-Nyungan,Greater Maric,Australia
Martuthunira [vma],-21,116.5,#649E5D,Pama-Nyungan,Pilbara,Australia
Muruwari [zmu],-29,146.75,#4B9455,Pama-Nyungan,Central New South Wales,Australia
Ngaanyatjarra [ntj],-26,125,#377FA1,Pama-Nyungan,Western Desert,Australia
Ngadjunmaya [nju],-32,123.5,#55B99D,Pama-Nyungan,Western bight,Australia
Ngawun [nxn],-19.5,141.5,#48E454,Pama-Nyungan,Mayi,Australia
Ngiyambaa [wyb],-31.75,145.5,#4F9661,Pama-Nyungan,Central New South Wales,Australia
Nhanda [nha],-27.5,114.75,#53B65F,Pama-Nyungan,Kardu,Australia
Nyangumarta [nna],-20,121,#519456,Pama-Nyungan,Marngu,Australia
Nyawaygi [nyt],-19,145.9,#529E81,Pama-Nyungan,Dyirbalic,Australia
Baagandji [drl],-32,142.533,#3F8043,Pama-Nyungan,Baagandji,Australia
Panyjima [pnw],-22.833,118,#48A554,Pama-Nyungan,Pilbara,Australia
Pitjantjatjara [pjt],-26.833,130,#3E73A7,Pama-Nyungan,Western Desert,Australia
Pitta-Pitta [pit],-22.9,139.9,#468B69,Pama-Nyungan,Karnic,Australia
Ritharngu [rit],-12.833,135.5,#34757B,Pama-Nyungan,Yolngu,Australia
Kuuk Thaayorre [thd],-14,142.25,#6E9F8B,Pama-Nyungan,West Cape York,Australia
Uradhi [urf],-12,142.25,#57B87F,Pama-Nyungan,North Cape York,Australia
Wangkumara [nbx],-27.333,143,#53AB65,Pama-Nyungan,Karnic,Australia
Warlpiri [wbp],-20,132.333,#4A7F65,Pama-Nyungan,Ngumbin-Yapa,Australia
Warluwara [wrb],-22.3,138.9,#57AB6B,Pama-Nyungan,Ngarna,Australia
Warrgamay [wgy],-18.583,146.167,#44AA6A,Pama-Nyungan,Dyirbalic,Australia
Warrnambool [xxx-31],-38.25,142.5,#5C8C5A,Pama-Nyungan,Kulin,Australia
Wathawurrung [xxx-32],-37.5,144,#506476,Pama-Nyungan,Kulin,Australia
Watjarri [wbv],-29,117.25,#52978A,Pama-Nyungan,Kardu,Australia
Wembawemba [xxx-33],-36,142,#5C724A,Pama-Nyungan,Kulin,Australia
Wik Mungkan [wim],-13.667,141.833,#4BBC98,Pama-Nyungan,North Cape York,Australia
Wik Ngathana [wig],-13.917,141.5,#52D9A5,Pama-Nyungan,North Cape York,Australia
Wirangu [wiw],-32,134,#589B92,Pama-Nyungan,Wirangu,Australia
Yankuntjatjara [kdd],-27.5,132,#378697,Pama-Nyungan,Western Desert,Australia
Yanyuwa [jao],-15.833,136,#486864,Pama-Nyungan,Ngarna,Australia
Yaygir [xxx-36],-29.667,153,#3ABD7A,Pama-Nyungan,Central-East,Australia
Yidiny [yii],-17.917,146.09,#56997A,Pama-Nyungan,Yidinic,Australia
Yindjibarndi [yij],-21.5,117,#60B84B,Pama-Nyungan,Pilbara,Australia
Yingkarta [yia],-24.7,114.5,#49AC56,Pama-Nyungan,Kardu,Australia
Yir Yoront [yiy],-14.333,142.25,#41AA77,Pama-Nyungan,West Cape York,Australia
Yuwaalaraay [kld],-29.5,148,#53A054,Pama-Nyungan,Central New South Wales,Australia
Rembarrnga [rmb],-12.95,134.583,#674371,Macro-Gunwinygu,Gunwingyuan proper,Australia
Ngan'gityemerri [nam],-14.25,130.417,#833695,Southern Daly,,Australia
Ngankikurungkurr [nam-2],-14,130.5,#665A82,Southern Daly,,Australia
Kayardild [gyd],-17.05,139.5,#4DA676,Tangkic,,Australia
Yukulta [gcd],-17.333,138.833,#457E5B,Tangkic,,Australia
Tiwi [tiw],-11.5,131,#A24E5E,Tiwi,,Australia
Warray [wrz],-13.167,131.25,#4F4590,Macro-Gunwinygu,Gunwingyuan proper,Australia
Djingili [jig],-17.25,133.833,#59745F,Mirndi,Barkly,Australia
Wambaya [wmb],-18.667,135.75,#5D695D,Mirndi,Barkly,Australia
Maranungku [zmr],-13.5,130,#7C54B2,Western Daly,,Australia
Ughele [uge],-8.5,157.33,#CC4A64,Oceanic,Western Oceanic,Solomons
Maringarr [zmt],-14.25,130,#8750AD,Western Daly,,Australia
Marrithiyel [mfr],-13.833,130,#824697,Western Daly,,Australia
Kwini [gww],-14.333,126.75,#6A4C91,Wororan,,Australia
Ngarinyin [ung],-16.25,126.5,#965D91,Wororan,,Australia
Worora [unp],-15.667,124.667,#5D3A99,Wororan,,Australia
Wagiman [waq],-14,131.25,#48468C,Wagiman,,Australia
Wardaman [wrr],-15.5,131,#536572,Yangman,,Australia
Semelai [sza],3,102.5,#C1A650,Austroasiatic,Aslian,Malaysia
Temiar [tea],4.833,101.333,#D08C7D,Austroasiatic,Aslian,Malaysia
Brao [brb],14,107,#E1AAA4,Austroasiatic,Bahnaric,Vietnam
Chrau [crw],10.667,107.5,#DECE8B,Austroasiatic,Bahnaric,Vietnam
Cua [cua],15.167,108.667,#E3EC8E,Austroasiatic,Bahnaric,Vietnam
Sapuan [spu],15.333,106.833,#ECEC91,Austroasiatic,Bahnaric,Laos
Sedang [sed],14.667,108,#F7C590,Austroasiatic,Bahnaric,Vietnam
Sre [kpm],11.5,108,#EFBE88,Austroasiatic,Bahnaric,Vietnam
Stieng [sti],12,107,#ECE496,Austroasiatic,Bahnaric,Vietnam
Katu [ktv],15.833,107.583,#EBC76F,Austroasiatic,Katuic,Vietnam
Khasi [kha],26,92,#A5B25B,Austroasiatic,Khasic,India
Khmer [khm],12,105,#EBC298,Austroasiatic,Khmer,Cambodia
Mon [mnw],15,100,#F4D89B,Austroasiatic,Mon,Thailand
Bhumij [muw],21.333,86.5,#468187,Austroasiatic,Munda,India
Gadaba [gdb],19,83.667,#298C65,Dravidian,Central,India
Ho [hoc],22,86,#496971,Austroasiatic,Munda,India
Kharia [khr],22.5,83.5,#3E8A6D,Austroasiatic,Munda,India
Korku [kfq],25,78.5,#409B5A,Austroasiatic,Munda,India
Mundari [unr],24,86.167,#52815E,Austroasiatic,Munda,India
Remo [bfw],18.333,82.333,#238C73,Austroasiatic,Munda,India
Santali [sat],24.5,87,#398D45,Austroasiatic,Munda,India
Sora [srb],20,84.333,#416F69,Austroasiatic,Munda,India
Nancowry [ncb],8,93.5,#A5B255,Austroasiatic,Nicobar,India
Car [caq],9.167,92.75,#A9B239,Austroasiatic,Nicobar,India
Khmu [kjg],19,100.75,#E3C092,Austroasiatic,Khmuic,Thailand
Mlabri [mra],18.833,101,#E0D18F,Austroasiatic,Mlabri,Thailand
Palaung [plw],22.667,96.4,#F0D68E,Austroasiatic,Palaungic,Myanmar
Vietnamese_Northern [vie],20.25,105.975,#EEC98F,Austroasiatic,Vietic,Vietnam
Atayal [tay],24.5,121,#CF8150,Austronesian,Atayalic,Taiwan
Seediq [trv],24.167,121.417,#AE7256,Austronesian,Atayalic,Taiwan
Kadazan [kzj],5.917,117.167,#D49C4E,Malayo-Polynesian,North Borneo,Malaysia
Maanyan [mhy],-2,115,#F59F66,Malayo-Polynesian,Barito,Indonesia
Malagasy [bhr],-20,47,#C47F48,Malayo-Polynesian,Barito,Madagascar
Tatana' [txx],5.5,115.5,#D27753,Malayo-Polynesian,North Borneo,Malaysia
Timugon [tih],5,116,#DD9D4E,Malayo-Polynesian,North Borneo,Malaysia
Alune [alp],-3.167,128.333,#C36597,Malayo-Polynesian,Central Maluku,Indonesia
Buru [mhs],-3.7,126.4,#CAA4AE,Malayo-Polynesian,Central Maluku,Indonesia
Kambera [xbr],-9.833,120.5,#E2636F,Malayo-Polynesian,Flores-Sawu-Sumba,Indonesia
Lamaholot [slp],-8.25,123,#B690AF,Malayo-Polynesian,Timoric,Indonesia
Larike [alo],-3.783,127.917,#CE48A1,Malayo-Polynesian,Central Maluku,Indonesia
Leti [lti],-8.2,127.67,#DE4E97,Malayo-Polynesian,Southeast Maluku,Indonesia
Selaru [slu],-8.25,130.917,#D3478A,Malayo-Polynesian,Southeast Maluku,Indonesia
Manggarai [mqy],-8.667,120.333,#E7B176,Malayo-Polynesian,Flores-Sawu-Sumba,Indonesia
Ngadha [nxg],-8.833,121,#FAC781,Malayo-Polynesian,Flores-Sawu-Sumba,Indonesia
Nuaulu [nxl],-3.25,129.083,#A3598D,Malayo-Polynesian,Central Maluku,Indonesia
Palu'e [ple],-8.333,121.75,#CDA870,Malayo-Polynesian,Flores-Sawu-Sumba,Indonesia
Paulohi [plh],-3.3,128.8,#DF5EA5,Malayo-Polynesian,Central Maluku,Indonesia
Sawu [hvn],-10.5,122,#BE7F61,Malayo-Polynesian,Flores-Sawu-Sumba,Indonesia
Tetun [tet],-9.333,125.083,#D19890,Malayo-Polynesian,Timoric,Indonesia
Tugun [tzn],-7.833,126.667,#D371A0,Malayo-Polynesian,Timoric,Indonesia
Chamorro [cha],13.583,145,#C66037,Malayo-Polynesian,Chamorro,Guam
Roma [rmm],-7.2,128.583,#C16D91,Malayo-Polynesian,Southeast Maluku,Indonesia
Bikol [bcl],13.333,123.5,#C87D60,Malayo-Polynesian,Philippines,Philippines
Cebuano [ceb],10,124,#B57A44,Malayo-Polynesian,Philippines,Philippines
Hiligaynon [hil],10.25,123,#BE864B,Malayo-Polynesian,Philippines,Philippines
Mamanwa [mmn],9.417,125.5,#C7814B,Malayo-Polynesian,Philippines,Philippines
Tagalog [tgl],14.75,121,#B0704C,Malayo-Polynesian,Philippines,Philippines
Agta [agt],17.967,121.833,#C58643,Malayo-Polynesian,Philippines,Philippines
Balangao [blw],17.167,120.333,#CA7C4C,Malayo-Polynesian,Philippines,Philippines
Bontok [bnc],17.083,120.917,#C77E40,Malayo-Polynesian,Philippines,Philippines
Ifugao_Batad [ifb],16.833,121.083,#BA843A,Malayo-Polynesian,Philippines,Philippines
Ilokano [ilo],16,121,#BC813B,Malayo-Polynesian,Philippines,Philippines
Kapampangan [pam],15.333,120.5,#B85A31,Malayo-Polynesian,Philippines,Philippines
Pangasinan [pag],15.917,120.333,#B7773F,Malayo-Polynesian,Philippines,Philippines
Adzera [azr],-6.417,146.25,#BB7C9E,Oceanic,Western Oceanic,Papua New Guinea
Alaala [nrz],-9,146.667,#B67A92,Oceanic,Western Oceanic,Papua New Guinea
Amara [aie],-5.533,148.667,#BF6DBE,Oceanic,Western Oceanic,Papua New Guinea
Ambae_West [omb],-15.5,167.75,#B9597C,Oceanic,Southern Oceanic,Vanuatu
Anejom [aty],-20.25,169.833,#CB587F,Oceanic,Southern Oceanic,Vanuatu
Aribwatsa [laz],-6.667,146.917,#C45587,Oceanic,Western Oceanic,Papua New Guinea
Arop-Lokep [apr],-5.333,147.083,#C267A5,Oceanic,Western Oceanic,Papua New Guinea
Arosi [aia],-10.333,161.5,#CE6275,Oceanic,Southeast Solomonic,Solomons
Atchin [upv],-16,167.333,#CE5E8F,Oceanic,Southern Oceanic,Vanuatu
Bali-Vitu [wiv],-4.733,149.283,#E76579,Oceanic,Western Oceanic,Papua New Guinea
Banoni [bcm],-6.417,155.25,#D84E92,Oceanic,Western Oceanic,Papua New Guinea
Buma [tkw],-11.63,166.83,#D8BCBE,Oceanic,TeMotu,Solomons
Cemuhi [cam],-20.833,165,#E03A74,Oceanic,Southern Oceanic,New Caledonia
Chuukese [chk],7.333,151.75,#DB7B67,Oceanic,Micronesian,USA Federated States of Micronesia
Drehu [dhv],-21,167.083,#E0B063,Oceanic,Southern Oceanic,New Caledonia
Sye [erg],-18.92,169.1,#975389,Oceanic,Southern Oceanic,Vanuatu
Fijian [fij],-17.98,178.525,#C87469,Oceanic,Central Pacific,Fiji
Futuna_East [fud],-14.29,-178.16,#C29950,Oceanic,Central Pacific,Vanuatu
Futuna_West [fut-2],-19.667,170.667,#AEB46D,Oceanic,Central Pacific,Vanuatu
Gapapaiwa [pwg],-9.8,149.833,#A15CA9,Oceanic,Western Oceanic,Papua New Guinea
Gela [nlg],-9.167,160.333,#E35B4B,Oceanic,Southeast Solomonic,Solomons
Gumawana [gvs],-9.25,150.833,#B8498F,Oceanic,Western Oceanic,Papua New Guinea
Halia [hla],-5.25,154.75,#CB796F,Oceanic,Western Oceanic,Papua New Guinea
Hawaiian [haw],21.905,-160.2,#A8AC4D,Oceanic,Central Pacific,USA
Iaai [iai],-20.417,166.417,#F06754,Oceanic,Southern Oceanic,New Caledonia
Iduna [viv],-9.417,150.25,#9C3EA8,Oceanic,Western Oceanic,Papua New Guinea
Yabem [jae],-6.75,147.833,#9C4CBE,Oceanic,Western Oceanic,Papua New Guinea
Kairiru [kxa],-3.417,143.583,#B95EBD,Oceanic,Western Oceanic,Papua New Guinea
KaliaiKove [kvc],-5.667,149.75,#DC38AE,Oceanic,Western Oceanic,Papua New Guinea
Kaulong [pss],-6.25,150.5,#BF62AE,Oceanic,Western Oceanic,Papua New Guinea
Kele [sbc],-2.083,147.333,#D743A8,Oceanic,Admiralties,Papua New Guinea
Kilivila [kij],-8.5,151,#D7557F,Oceanic,Western Oceanic,Papua New Guinea
Kiribati [gil],1.333,173,#EF4F4B,Oceanic,Micronesian,Kiribati
Kokota [kkk],-8,159.25,#C06257,Oceanic,Western Oceanic,Solomons
Kosraean [kos],5.3,163,#E0706D,Oceanic,Micronesian,USA Federated States of Micronesia
Kwaio [kwd],-8.917,161.083,#D66581,Oceanic,Southeast Solomonic,Solomons
Kwamera [tnk],-19.649,169.445,#BF57B3,Oceanic,Southern Oceanic,Vanuatu
Lenakel [tnl],-19.499,169.314,#C54495,Oceanic,Southern Oceanic,Vanuatu
Lewo [lww],-16.667,168.333,#C23DA3,Oceanic,Southern Oceanic,Vanuatu
Longgu [lgu],-9.696,160.658,#CD5C6D,Oceanic,Southeast Solomonic,Solomons
Loniu [los],-2.1,147.417,#DD65A6,Oceanic,Admiralties,Papua New Guinea
Lou [loj],-2.367,147.333,#D27A8F,Oceanic,Admiralties,Papua New Guinea
Emae [mmw],-17.033,168.167,#D98E9D,Oceanic,Central Pacific,Vanuatu
Maisin [mbq],-9.5,149.167,#6D47C1,Oceanic,Western Oceanic,Papua New Guinea
